num,value
799,6
800,27
801,29
802,35
803,40
804,25
805,34
806,26
807,29
808,22
809,22
810,52
811,62
812,63
813,74
814,59
815,57
816,58
817,56
818,59
819,67
820,35
821,71
822,38
823,78
824,66
825,62
826,66
827,54
828,51
829,66
830,47
831,72
832,29
833,10
834,22
835,35
836,25
837,24
838,7
839,21
840,9
841,28
842,12
843,28
844,3
845,23
846,23
847,13
848,6
849,15
850,9
851,24
852,27
853,22
854,17
855,4
856,20
857,18
858,10
859,9
860,16
861,18
862,25
863,37
864,13
865,17
866,7
867,14
868,9
869,13
870,9
871,30
872,12
873,36
874,20
875,26
876,12
877,7
878,10
879,8
880,1
881,8
882,11
883,10
884,18
885,10
886,5
887,10
888,27
889,12
890,11
891,18
892,11
893,28
894,21
895,11
896,13
897,12
898,6
899,14
900,25
901,33
902,27
903,30
904,20
905,63
906,16
907,18
908,13
909,21
910,45
911,37
912,56
913,64
914,49
915,41
916,69
917,46
918,56
919,47
920,39
921,70
922,39
923,64
924,40
925,70
926,59
927,70
928,60
929,51
930,33
931,36
932,18
933,38
934,15
935,31
936,15
937,7
938,16
939,4
940,6
941,5
942,8
943,4
944,0
945,10
946,19
947,4
948,5
949,7
950,12
951,10
952,17
953,17
954,130
955,10
956,10
957,14
958,12
959,6
960,7
961,15
962,8
963,35
964,8
965,10
966,6
967,8
968,12
969,11
970,7
971,14
972,6
973,14
974,8
975,10
976,4
977,2
978,6
979,5
980,4
981,10
982,10
983,15
984,7
985,6
986,8
987,16
988,6
989,8
990,5
991,3
992,4
993,3
994,3
995,5
996,3
997,4
998,10
999,30
